Epoch,Loss,Time,Accuracy
1,0.196677,57.9,0.9723
2,0.055729,60.2,0.9802
3,0.028606,60.7,0.9832
4,0.018365,61.4,0.9843
5,0.015604,62.2,0.9851
6,0.012914,60.5,0.9865
18,0.005556,61.1,0.9905
19,0.004799,61.5,0.9896
20,0.00405,61.7,0.9905
